RowNumber,CustomerId,CreditScore,State,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,Exited,Complain,Satisfaction Score,Card Type,Point Earned
1,18577888,391,Michigan,Female,49,2,97871.9,2,1,1,1,0,4,GOLD,406
2,19993932,560,Alabama,Male,35,8,60966.22,2,0,1,0,1,1,PLATINUM,379
3,19094900,599,Florida,Female,28,5,153809.49,1,1,0,0,0,1,GOLD,816
4,19420497,655,Maryland,Female,45,6,40021.13,1,1,0,0,0,4,PLATINUM,364
5,15634465,719,Kentucky,Female,45,2,197565.68,1,1,0,0,0,5,DIAMOND,739
6,17801622,453,Wyoming,Male,54,2,63872.93,3,1,0,0,0,5,GOLD,615
7,18164755,501,Ohio,Male,44,1,143838.93,1,1,1,0,0,1,PLATINUM,211
8,19162417,494,Kentucky,Male,50,2,54498.21,1,0,0,0,0,4,GOLD,702
9,15341963,401,Missouri,Male,46,6,96530.49,3,0,0,1,0,4,SILVER,793
10,18080339,438,North Dakota,Male,36,5,217160.79,1,1,1,0,0,2,SILVER,391
11,17487959,762,Idaho,Female,36,1,23403.39,3,1,1,1,1,4,GOLD,311
12,16121406,483,Montana,Male,44,2,0.0,2,1,0,0,1,2,DIAMOND,898
13,16624891,370,South Carolina,Female,50,9,8277.25,2,1,0,1,0,4,PLATINUM,95
14,15478439,764,Utah,Male,40,6,110827.98,2,1,0,0,0,5,PLATINUM,982
15,16085148,560,Wisconsin,Male,43,5,0.0,1,0,0,0,0,4,PLATINUM,971
16,18220749,713,Oklahoma,Male,41,1,152103.38,3,1,1,0,0,4,GOLD,966
17,18448197,678,Rhode Island,Male,43,8,109162.19,3,0,0,0,0,1,SILVER,296
18,16049034,527,Florida,Male,30,0,0.0,1,1,1,1,0,3,SILVER,769
19,19683228,401,Arkansas,Male,43,2,117385.66,4,1,0,0,0,2,PLATINUM,182
20,18134663,442,North Dakota,Female,36,5,0.0,4,1,0,1,0,3,PLATINUM,955
21,17262298,798,West Virginia,Female,24,7,86708.71,1,1,1,0,0,1,SILVER,656
22,18084680,370,Arkansas,Female,38,9,28623.81,1,1,0,1,1,1,GOLD,150
23,17936778,394,South Carolina,Male,56,6,41181.09,2,0,1,1,0,3,SILVER,385
24,17023633,470,North Dakota,Male,45,4,82156.53,2,0,1,0,1,2,SILVER,46
25,17816496,405,Virginia,Female,43,0,99807.69,1,1,0,0,0,2,GOLD,54
26,15644864,771,Wisconsin,Male,49,5,0.0,1,1,0,0,1,5,GOLD,683
27,19460779,677,Rhode Island,Male,44,3,140849.13,2,0,0,0,0,5,GOLD,570
28,17860155,701,Delaware,Female,53,8,73336.46,1,1,0,0,0,3,SILVER,488
29,18225330,670,North Carolina,Male,43,1,194028.59,2,1,1,0,0,5,GOLD,587
30,17020818,384,South Dakota,Female,36,0,37643.93,1,1,1,0,0,2,SILVER,414
31,18778469,683,South Dakota,Female,30,4,52142.9,1,1,0,0,0,4,GOLD,794
32,18193954,464,Mississippi,Female,29,2,0.0,1,1,1,1,0,4,GOLD,923
33,16818062,569,Rhode Island,Male,30,1,121712.55,2,0,1,0,0,2,GOLD,310
34,15027623,494,New Hampshire,Female,44,2,67762.91,2,1,1,0,0,1,PLATINUM,352
35,16993154,742,Rhode Island,Male,41,8,65989.8,1,0,1,0,1,3,GOLD,521
36,17274414,598,Iowa,Female,29,4,49384.06,1,1,1,0,0,2,PLATINUM,930
37,15443763,627,Idaho,Male,31,10,73595.78,2,1,1,0,0,5,PLATINUM,822
38,18314704,577,Rhode Island,Male,58,4,0.0,1,1,1,1,0,2,SILVER,743
39,19619064,778,Connecticut,Female,50,9,66125.75,3,1,0,0,0,4,GOLD,58
40,19861916,720,Connecticut,Male,41,4,0.0,1,1,0,0,0,4,SILVER,637
41,15927176,749,Nebraska,Female,31,3,91182.4,1,1,0,0,0,1,DIAMOND,560
42,18899995,672,Montana,Female,42,0,98971.83,2,1,0,0,0,1,DIAMOND,587
43,17635652,613,Utah,Male,32,1,0.0,3,1,1,0,0,1,GOLD,512
44,18087728,520,California,Male,48,1,56696.65,1,1,0,0,1,1,GOLD,667
45,19168062,688,Connecticut,Male,26,1,35538.02,2,0,0,0,1,1,SILVER,625
46,16455761,552,Tennessee,Male,33,6,137391.83,4,1,1,0,0,1,DIAMOND,189
47,18505718,840,Nevada,Female,26,1,136491.23,1,1,0,0,0,5,PLATINUM,344
48,15781114,531,South Dakota,Female,35,4,0.0,1,1,1,0,0,5,SILVER,164
49,16304419,461,Florida,Female,50,5,64394.91,1,1,1,0,0,3,GOLD,519
50,16255211,553,Kansas,Male,36,0,99219.82,2,0,0,0,0,1,GOLD,263
51,15984297,496,Kansas,Male,55,0,162580.07,3,1,0,0,0,4,SILVER,758
52,15132065,571,Georgia,Male,38,1,292177.99,2,1,1,0,0,5,PLATINUM,879
53,16132734,361,New York,Male,32,7,51124.79,2,1,1,0,0,3,GOLD,806
54,17809186,486,Wisconsin,Female,47,10,24404.99,1,1,0,0,0,3,PLATINUM,700
55,17162145,740,Alaska,Male,45,6,162950.95,2,0,0,0,0,1,SILVER,122
56,15340680,565,Kentucky,Male,46,10,0.0,4,1,1,0,0,5,PLATINUM,116
57,15254477,692,South Carolina,Male,38,2,46468.36,1,1,1,0,0,5,GOLD,711
58,16405762,672,California,Male,33,5,227423.72,2,1,1,0,0,3,GOLD,925
59,16575095,681,Maine,Male,36,5,67084.82,2,1,0,1,0,4,GOLD,712
60,15772459,602,New Jersey,Female,38,8,100045.83,1,0,1,0,0,2,GOLD,438
61,18688197,396,Kentucky,Male,60,9,87697.8,3,1,1,0,0,1,SILVER,466
62,18656462,783,Iowa,Male,48,5,163450.24,2,1,0,1,0,1,SILVER,581
63,17966794,691,West Virginia,Male,29,1,101412.44,1,1,0,1,1,5,GOLD,411
64,19001007,514,Arizona,Male,36,5,148709.8,2,0,1,0,0,3,SILVER,869
65,17177947,467,Nevada,Male,44,7,116932.1,1,1,1,1,0,1,PLATINUM,576
